date,close,high,low,open,pre,change,rate,volume,amount
2019/10/18,3869.3777,3940.5409,3864.9652,3935.4199,3925.2216,-55.8439,-1.4227,8232114000,1.2218692713e+11
2019/10/21,3880.8398,3884.7447,3856.0374,3865.3436,3869.3777,11.4621,0.2962,7418291800,1.10858235839e+11
2019/10/22,3895.8809,3897.4352,3870.5486,3896.3149,3880.8398,15.0411,0.3876,6891856600,1.02843371161e+11
2019/10/23,3871.0848,3901.4243,3862.1965,3892.6766,3895.8809,-24.7961,-0.6365,7019862500,99733598353
2019/10/24,3870.6678,3890.1955,3852.5828,3877.9239,3871.0848,-0.417,-0.0108,7133457500,1.05096951646e+11
2019/10/25,3896.7923,3899.7223,3849.0337,3871.7687,3870.6678,26.1245,0.6749,7745362000,1.26677483957e+11
2019/10/28,3926.585,3927.7959,3897.8175,3904.9824,3896.7923,29.7927,0.7645,9740602000,1.50762201736e+11
2019/10/29,3910.226,3932.3745,3910.226,3929.7077,3926.585,-16.359,-0.4166,8225707500,1.39611420266e+11
2019/10/30,3891.2255,3908.0999,3883.4468,3904.7172,3910.226,-19.0005,-0.4859,7787292300,1.22610501731e+11
2019/10/31,3886.7519,3907.1505,3878.8757,3906.8593,3891.2255,-4.4736,-0.115,8671453900,1.35012425538e+11
2019/11/1,3952.3872,3956.0797,3876.4164,3883.8084,3886.7519,65.6353,1.6887,10068961200,1.51471061323e+11
2019/11/4,3978.1216,3985.3573,3964.0052,3964.0052,3952.3872,25.7344,0.6511,10419385500,1.54485361812e+11
2019/11/5,4002.8128,4030.6381,3970.8664,3982.1155,3978.1216,24.6912,0.6207,11291188000,1.63317856089e+11
2019/11/6,3984.8816,4007.5012,3973.7762,4006.327,4002.8128,-17.9312,-0.448,9731295200,1.3985976347e+11
2019/11/7,3991.8749,4005.3829,3975.5475,3984.5529,3984.8816,6.9933,0.1755,8725489800,1.17751554347e+11
2019/11/8,3973.0107,4022.0362,3971.5726,4017.6742,3991.8749,-18.8642,-0.4726,9710694800,1.39026673427e+11
2019/11/11,3902.9783,3948.6186,3897.5504,3948.6186,3973.0107,-70.0324,-1.7627,9415562100,1.30330082289e+11
2019/11/12,3903.6888,3914.8821,3877.7397,3905.9584,3902.9783,0.7105,0.0182,7654306900,1.08828235839e+11
2019/11/13,3899.9815,3908.4196,3882.4314,3905.2831,3903.6888,-3.7073,-0.095,7674907800,1.12057146508e+11
2019/11/14,3905.857,3916.9459,3895.1415,3905.9284,3899.9815,5.8755,0.1507,8700844600,1.19791566839e+11
2019/11/15,3877.0892,3915.1049,3877.0892,3908.4891,3905.857,-28.7678,-0.7365,8373091700,1.15423020916e+11
2019/11/18,3907.9291,3913.1029,3868.3166,3874.4405,3877.0892,30.8399,0.7954,7664599300,1.07085819889e+11
2019/11/19,3947.0392,3947.0392,3902.3776,3904.0996,3907.9291,39.1101,1.0008,8216102500,1.23227172612e+11
2019/11/20,3907.8641,3943.2273,3901.9865,3940.1344,3947.0392,-39.1751,-0.9925,7681533300,1.18003062733e+11
