close,close_truth,open,open_truth,high,high_truth,low,low_truth
4744.47,4804.720834745512,4821.52,4797.256941120066,4837.48,4860.336896221327,4723.36,4732.905518944766
4516.25,4619.924594375464,4741.53,4613.1877515237065,4772.56,4697.876839168541,4513.65,4554.534037045922
4544.7,4645.739733118066,4524.77,4653.42807141331,4601.37,4708.18507792198,4485.82,4589.6010334851635
4680.3,4751.647420284928,4597.2,4775.969480789844,4681.94,4801.638661240431,4534.23,4703.7069868586495
4691.04,4764.32426382722,4697.5,4782.512244142013,4714.29,4810.614534610499,4661.44,4718.158746733154
4714.45,4814.428021938685,4682.66,4831.813229680022,4790.45,4858.7721339362,4675.35,4765.139909959543
4712.44,4817.28192694598,4668.74,4821.047924616264,4731.4,4857.404778457506,4607.66,4762.981270599741
4505.59,4604.451592021014,4679.03,4589.401561070928,4691.7,4663.56395886472,4479.39,4537.874298215705
4528.45,4600.254246384208,4535.01,4591.783574109115,4558.12,4652.768992218167,4482.44,4530.761066342883
4568.26,4626.974809213374,4567.67,4628.144378745967,4590.25,4673.039485573559,4537.69,4566.212014546669
4679.01,4741.143180227908,4559.16,4757.8223706919325,4680.56,4783.714332112302,4548.85,4687.781703156135
4656.15,4710.71015853502,4689.76,4725.448600930506,4704.63,4760.79908367891,4649.77,4663.095501386964
4695.05,4768.061711515296,4652.18,4783.27900154755,4741.81,4816.010712333203,4621.96,4720.743372630119
4771.31,4817.757879890667,4735.9,4822.285436610706,4771.37,4852.184465131802,4720.02,4761.222858663394
4775.8,4822.477401323427,4778.49,4819.311936106109,4807.08,4852.369599292863,4747.77,4762.4079060488175
4777.11,4855.959965917904,4761.76,4843.64090634081,4786.7,4879.047980253935,4711.27,4793.562464764515
4762.76,4853.665784680981,4779.24,4830.744640080718,4791.86,4873.351906079921,4691.16,4790.46957695227
4707.93,4803.556847538563,4742.29,4774.068715219401,4749.02,4828.129035719185,4637.84,4739.713101632529
4724.87,4826.477037453558,4681.76,4795.976550818269,4757.66,4845.083564742688,4646.29,4762.937185350408
4681.78,4781.218133323946,4730.38,4746.350933744818,4791.53,4801.907353838078,4674.86,4720.624701290344
