date,close,open,high,low,high_rate,low_rate,d_close,d_open,d_high,d_low
2020/2/11,3952.46,3926.42,3970.52,3915.71,0.011231605,-0.002727676,36.45,54.05,50.35,54.7
2020/2/12,3984.43,3945.67,3984.43,3940.67,0.009823427,-0.001267212,31.97,19.25,13.91,24.96
2020/2/13,3959.92,3985.88,3999.55,3950.14,0.003429607,-0.008966652,-24.51,40.21,15.12,9.47
2020/2/14,3987.73,3954.23,4001.56,3954.02,0.011969461,-5.31E-05,27.81,-31.65,2.01,3.88
2020/2/17,4077.42,3999.65,4077.45,3999.65,0.019451702,0,89.69,45.42,75.89,45.63
2020/2/18,4057.51,4069.83,4076.39,4027.79,0.001611861,-0.01032967,-19.91,70.18,-1.06,28.14
2020/2/19,4051.31,4049.59,4085.17,4042.85,0.008786075,-0.001664366,-6.2,-20.24,8.78,15.06
2020/2/20,4144.66,4062.9,4148.53,4055.81,0.021076079,-0.001745059,93.35,13.31,63.36,12.96
2020/2/21,4149.49,4134.87,4184.44,4130.17,0.011988285,-0.001136674,4.83,71.97,35.91,74.36
2020/2/24,4132.84,4131.84,4149.01,4097.18,0.004155534,-0.008388515,-16.65,-3.03,-35.43,-32.99
2020/2/25,4123.85,4066.3,4126.71,4020.91,0.014856258,-0.011162482,-8.99,-65.54,-22.3,-76.27
2020/2/26,4073.02,4070.1,4132.78,4061.12,0.015400113,-0.002206334,-50.83,3.8,6.07,40.21
2020/2/27,4084.88,4084.08,4110.53,4067.44,0.006476367,-0.004074357,11.86,13.98,-22.25,6.32
2020/2/28,3940.05,3988.73,4031.15,3928.07,0.010634964,-0.015207848,-144.83,-95.35,-79.38,-139.37
2020/3/2,4069.67,3968.84,4092.54,3968.84,0.031167797,0,129.62,-19.89,61.39,40.77
2020/3/3,4091.36,4125.14,4147.65,4067.91,0.005456784,-0.013873469,21.69,156.3,55.11,99.07
2020/3/4,4115.05,4078.5,4115.26,4060.73,0.009013118,-0.004356994,23.69,-46.64,-32.39,-7.18
2020/3/5,4206.73,4150.21,4215.85,4127.04,0.015816067,-0.00558285,91.68,71.71,100.59,66.31
2020/3/6,4138.51,4158.2,4181.31,4135.39,0.005557693,-0.005485547,-68.22,7.99,-34.54,8.35
2020/3/9,3997.13,4063.08,4063.08,3995.13,0,-0.016723766,-141.38,-95.12,-118.23,-140.26
2020/3/10,4082.73,3975.23,4093,3954.75,0.029625959,-0.005151903,85.6,-87.85,29.92,-40.38
2020/3/11,4028.43,4090.93,4091.27,4028.4,8.3111E-05,-0.015285033,-54.3,115.7,-1.73,73.65
2020/3/12,3950.91,3976.11,3987.43,3926.27,0.002847004,-0.012534864,-77.52,-114.82,-103.84,-102.13
2020/3/13,3895.31,3771.01,3937.18,3765.15,0.044065118,-0.00155396,-55.6,-205.1,-50.25,-161.12
2020/3/16,3727.84,3899.86,3899.86,3720.51,0,-0.04598883,-167.47,128.85,-37.32,-44.64
2020/3/17,3709.68,3739.78,3786.89,3618.31,0.012596998,-0.03248052,-18.16,-160.08,-112.97,-102.2
